"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
119,5,2,1,1,2,2,2,1,1
40,5,2,1,1,1,2,1,1,2
4,5,2,1,1,3,1,2,3,2
4,5,2,1,1,1,2,3,2,2
40,5,2,1,1,2,2,3,2,2
8,5,2,1,1,2,2,3,3,2
40,5,2,1,1,3,1,3,3,2
34,2,2,2,1,3,3,3,3,3
60,4,2,2,1,2,2,3,3,3
60,4,2,2,1,3,1,1,2,3
27,4,2,2,1,2,1,1,1,1
60,4,2,2,1,2,2,2,3,2
47,3,1,1,1,2,2,3,2,2
57,6,2,2,1,1,1,1,3,1
1,6,2,2,1,3,1,1,1,1
57,6,2,2,1,1,1,2,1,2
116,1,1,1,1,1,1,1,2,1
75,2,3,1,1,3,3,3,2,3
117,2,3,1,1,2,2,2,3,3
91,2,3,1,1,2,3,3,3,1
46,2,3,1,1,2,2,1,1,1
16,2,3,1,1,1,1,1,1,2
75,2,3,1,1,2,1,1,2,2
44,4,3,1,1,2,2,2,2,3
58,4,3,1,1,1,2,1,2,1
76,4,3,1,1,2,2,2,3,1
27,4,3,1,1,3,3,1,2,1
92,4,3,1,1,2,2,1,2,1
60,4,3,1,1,2,2,2,4,2
27,4,3,1,1,3,2,3,2,2
125,6,3,1,1,1,2,1,1,1
98,6,3,1,1,1,1,2,2,1
125,6,3,1,1,2,3,2,2,1
57,6,3,1,1,1,1,1,1,1
64,6,3,1,1,3,1,1,1,1
88,6,3,1,1,2,2,3,3,2
26,6,3,1,1,2,1,2,1,2
26,6,3,1,1,2,2,1,2,2
103,1,3,2,1,2,2,2,2,1
110,3,4,1,1,2,1,2,1,1
59,3,4,1,1,2,2,2,1,1
87,6,1,1,1,2,1,3,3,1
67,6,1,1,1,1,1,2,1,1
57,6,1,1,1,2,1,1,3,2
132,1,4,1,1,2,2,2,2,3
109,1,4,1,1,3,3,3,4,2
40,5,3,1,1,1,2,3,3,3
40,5,3,1,1,2,3,3,3,3
40,5,3,1,1,2,3,3,3,3
40,5,3,1,1,2,3,3,3,3
119,5,3,1,1,1,1,1,2,1
8,5,3,1,1,1,1,1,2,1
102,5,3,1,1,1,1,3,3,1
4,5,3,1,1,2,2,2,4,1
102,5,3,1,1,1,1,1,2,2
40,5,3,1,1,2,2,3,3,2
72,5,3,1,1,3,3,2,3,2
60,4,3,2,1,1,1,1,1,1
95,4,3,2,1,2,1,1,1,1
40,5,1,1,1,1,1,2,2,3
40,5,1,1,1,1,1,2,2,2
40,5,1,1,1,2,3,2,3,3
40,5,1,1,1,2,2,2,3,3
40,5,1,1,1,1,1,2,3,1
40,5,1,1,1,3,1,3,2,4
54,4,4,1,1,1,1,1,3,1
60,4,4,1,1,2,3,1,3,1
106,4,4,1,1,2,2,1,1,2
60,4,1,2,1,2,1,2,2,1
29,4,1,2,1,1,1,2,1,1
125,6,4,1,1,1,1,2,3,1
125,6,4,1,1,1,1,1,1,1
125,6,4,1,1,2,2,2,2,1
57,6,4,1,1,1,1,1,1,1
125,6,4,1,1,2,2,1,1,1
125,6,4,1,1,2,1,1,1,4
125,6,4,1,1,2,2,2,2,2
87,6,1,2,1,2,2,2,2,2
88,6,1,2,1,2,2,1,2,2
40,5,3,2,1,1,1,2,2,3
40,5,4,1,1,2,1,3,2,1
40,5,4,1,1,2,3,2,2,1
86,6,4,2,1,2,2,2,2,1
