"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
89,6,3,4,1,1,2,2,3,1,2
65,6,4,1,1,1,1,1,2,1,1
125,6,3,1,1,1,3,2,2,3,1
40,5,4,2,2,1,1,2,1,2,1
42,5,3,2,2,1,3,2,2,3,1
125,6,2,1,1,1,1,1,1,1,1
27,4,4,1,1,1,1,1,1,1,1
40,5,4,1,2,1,2,2,3,2,3
38,6,4,2,2,1,3,2,2,2,2
41,5,4,1,1,1,2,2,3,3,3
133,1,4,1,2,1,2,2,2,2,2
60,4,3,1,1,1,1,1,1,2,1
46,2,4,1,1,1,1,1,1,1,2
85,6,3,2,2,1,2,2,3,3,1
53,1,4,4,2,1,1,2,2,3,2
35,1,2,3,1,1,3,2,3,3,3
5,4,4,1,2,1,2,2,1,3,1
40,5,3,1,2,1,2,2,2,3,3
115,3,4,1,1,1,1,2,1,1,1
102,5,3,1,1,1,1,2,2,2,1
40,5,3,1,2,1,2,1,1,1,1
77,5,4,3,2,1,2,2,2,3,3
40,5,2,1,2,1,2,3,1,2,3
27,4,4,1,1,1,2,2,1,2,1
125,6,4,1,2,1,1,2,2,1,1
40,5,3,1,1,1,2,1,2,2,1
58,4,4,1,2,1,1,1,1,2,1
125,6,4,1,1,1,1,2,1,1,1
24,2,4,1,1,1,1,2,3,3,1
9,3,4,1,1,1,2,3,3,3,3
35,1,3,1,2,1,2,2,3,3,2
102,5,3,1,2,1,1,4,3,2,2
61,2,4,1,1,1,2,1,2,1,2
121,2,4,1,2,1,4,2,1,3,3
61,2,4,1,1,1,1,2,3,1,1
43,1,4,1,2,1,2,2,4,4,2
125,6,4,1,2,1,1,4,4,2,1
129,6,4,1,2,1,2,2,1,1,2
96,2,3,1,2,1,2,2,1,1,2
125,6,3,1,2,1,1,2,1,1,2
53,1,4,1,2,1,2,1,1,1,2
133,1,4,1,2,1,2,2,4,2,2
118,4,3,1,1,1,1,2,2,1,1
47,3,4,1,2,1,3,3,3,2,3
64,6,4,1,2,1,2,2,1,1,1
64,6,4,1,2,1,2,2,1,1,1
87,6,2,1,1,1,2,1,1,1,1
102,5,3,1,1,1,1,1,1,1,1
132,1,3,1,1,1,2,1,2,2,2
102,5,4,1,1,1,1,2,2,1,1
72,5,3,3,1,1,1,1,2,1,1
27,4,4,1,2,1,2,2,2,2,2
121,2,4,2,2,1,3,3,3,3,3
27,4,4,1,2,1,2,2,4,1,1
76,4,3,1,2,1,1,4,1,1,4
25,4,1,1,2,1,2,2,2,1,1
40,5,4,1,2,1,1,2,2,3,1
70,1,4,1,2,1,2,2,2,2,1
