"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
2,3,2,3,2,2,98,6,2,4,4
1,3,2,3,3,3,86,6,2,4,4
1,1,2,2,1,1,65,6,2,4,4
1,3,3,3,2,2,38,6,2,4,4
1,1,1,1,1,1,87,6,1,1,3
1,1,2,1,2,1,125,6,1,1,3
1,1,1,1,1,1,125,6,1,1,3
2,1,2,2,3,3,125,6,1,1,3
2,2,2,1,2,3,125,6,1,1,3
2,2,2,1,1,2,125,6,1,1,3
2,1,2,3,2,1,125,6,1,1,3
2,1,1,2,1,3,125,6,1,1,3
2,1,1,1,1,1,26,6,1,1,3
2,1,1,1,1,1,26,6,1,1,3
2,1,1,1,1,1,66,6,1,1,3
2,1,1,1,1,1,85,6,1,1,3
2,1,1,1,1,1,55,6,2,1,3
2,1,1,1,1,1,86,6,2,1,3
2,1,2,2,3,1,87,6,2,1,3
1,2,1,2,2,1,87,6,2,1,3
2,2,2,2,3,3,64,6,2,1,3
2,3,1,2,2,2,125,6,2,1,3
1,3,3,3,2,3,125,6,2,1,3
1,1,1,1,3,1,125,6,2,1,3
1,2,2,2,1,1,26,6,2,1,3
2,2,2,2,2,3,26,6,2,1,3
1,3,1,2,3,1,26,6,2,1,3
1,3,3,2,3,3,26,6,2,1,3
3,3,3,3,3,1,26,6,2,1,3
2,2,1,1,2,3,26,6,2,1,3
2,1,2,3,2,3,26,6,2,1,3
2,1,1,2,3,3,26,6,2,1,3
2,3,2,3,2,2,51,6,2,1,3
1,2,1,3,2,2,101,6,1,2,3
1,3,1,3,1,3,98,6,1,2,3
2,3,2,2,2,2,98,6,1,2,3
1,3,2,3,2,1,57,6,1,2,3
2,2,1,2,1,2,86,6,1,2,3
1,2,2,2,3,3,87,6,1,2,3
2,2,2,2,2,1,125,6,1,2,3
2,2,2,2,3,1,1,6,1,2,3
2,1,2,1,1,2,1,6,1,2,3
3,1,1,3,2,2,26,6,1,2,3
2,2,1,2,3,2,26,6,1,2,3
2,3,1,3,2,3,26,6,1,2,3
2,1,1,2,3,1,122,6,2,2,3
2,1,1,1,3,1,101,6,2,2,3
2,1,1,1,1,1,98,6,2,2,3
1,1,1,1,1,1,86,6,2,2,3
2,3,2,3,3,3,87,6,2,2,3
2,1,1,3,3,3,87,6,2,2,3
1,3,2,3,3,3,87,6,2,2,3
1,1,1,3,2,2,125,6,2,2,3
1,2,2,3,2,2,125,6,2,2,3
2,2,2,2,3,3,26,6,2,2,3
1,1,1,1,1,1,107,6,2,2,3
2,1,1,1,1,1,125,6,2,3,3
1,3,3,3,2,2,125,6,2,3,3
1,3,3,2,3,3,26,6,2,3,3
1,2,1,1,3,2,86,6,1,4,3
2,1,1,3,3,3,57,6,2,4,3
1,3,2,3,2,2,57,6,2,4,3
2,3,3,3,2,2,86,6,2,4,3
2,2,1,2,2,1,86,6,2,4,3
1,2,1,3,2,1,86,6,2,4,3
1,1,1,2,3,1,87,6,2,4,3
1,1,1,1,1,1,87,6,2,4,3
2,1,1,3,3,2,125,6,2,4,3
1,3,2,3,3,2,125,6,2,4,3
2,2,1,2,2,2,51,6,2,4,3
1,2,2,1,1,1,125,6,1,1,2
1,1,1,1,1,1,26,6,1,1,2
2,3,3,3,2,3,89,6,1,1,2
2,1,1,1,3,1,98,6,2,1,2
3,3,1,2,2,3,87,6,2,1,2
2,1,1,2,1,1,125,6,2,1,2
2,1,1,1,1,1,125,6,2,1,2
1,2,2,2,2,2,125,6,2,1,2
1,2,2,2,2,1,125,6,2,1,2
2,3,1,3,1,3,125,6,2,1,2
2,3,2,3,3,3,64,6,2,1,2
1,2,2,2,2,2,1,6,2,1,2
2,3,1,1,2,1,67,6,2,1,2
2,2,3,3,3,3,45,6,1,2,2
1,2,3,2,2,2,87,6,1,2,2
1,1,1,3,3,1,87,6,1,2,2
1,2,1,3,3,1,125,6,1,2,2
2,1,1,2,1,3,26,6,1,2,2
3,2,1,1,1,3,98,6,2,2,2
2,2,1,3,3,2,57,6,2,2,2
2,3,1,2,3,1,57,6,2,2,2
2,2,1,3,3,2,86,6,2,2,2
2,1,1,1,2,2,86,6,2,2,2
1,3,2,2,3,1,87,6,2,2,2
1,1,1,2,1,1,87,6,2,2,2
2,3,3,3,2,2,87,6,2,2,2
1,2,1,1,1,3,26,6,2,2,2
1,3,3,2,2,3,26,6,2,2,2
2,1,1,1,1,1,86,6,1,4,2
2,3,3,3,3,3,86,6,1,4,2
2,3,1,2,3,2,125,6,1,4,2
1,2,1,2,3,3,125,6,1,4,2
2,3,2,2,2,2,86,6,2,4,2
1,3,3,3,2,3,125,6,2,4,2
2,2,2,3,2,1,86,6,1,1,1
1,3,3,1,1,1,87,6,1,1,1
2,1,1,2,2,1,57,6,2,1,1
1,2,1,3,3,3,87,6,2,1,1
3,1,1,3,2,2,125,6,2,1,1
3,2,2,3,3,2,1,6,2,1,1
1,2,3,1,2,2,67,6,2,1,1
2,1,1,1,1,1,26,6,1,2,1
1,1,2,2,1,1,98,6,2,2,1
2,3,2,3,2,3,98,6,2,2,1
1,2,2,3,3,1,86,6,2,2,1
2,3,1,1,3,2,87,6,2,2,1
1,2,3,3,2,2,1,6,2,2,1
2,2,2,2,1,1,26,6,2,2,1
1,3,1,3,1,1,26,6,2,2,1
2,2,2,2,2,1,125,6,1,3,1
2,1,1,3,3,3,86,6,1,4,1
2,1,1,1,3,3,87,6,2,4,1
2,2,1,1,2,1,87,6,2,4,1
1,1,1,3,2,1,125,6,2,4,1
2,1,1,3,2,1,26,6,2,4,1
