"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
102,5,3,1,1,1,1,1,1,1,1
57,6,3,1,2,1,2,2,3,2,1
86,6,4,1,1,1,3,2,3,3,2
125,6,4,2,2,1,2,2,3,2,3
42,5,3,1,2,1,3,2,1,2,1
40,5,4,1,1,1,1,1,1,1,1
111,3,4,1,2,1,2,2,1,1,2
111,3,4,1,1,1,2,2,1,2,1
40,5,3,1,2,1,2,2,2,2,1
125,6,2,1,2,1,1,1,1,2,1
57,6,4,1,2,1,3,3,3,3,3
86,6,4,1,1,1,1,1,1,1,1
8,5,4,1,2,1,2,2,4,2,2
72,5,3,1,2,1,2,3,3,3,1
40,5,4,1,1,1,1,2,2,2,1
4,5,3,1,1,1,2,2,3,2,1
102,5,3,4,1,1,1,1,1,1,4
55,6,4,1,1,1,2,1,1,1,1
102,5,3,1,2,1,2,2,2,3,2
40,5,4,1,1,1,2,2,1,1,1
72,5,4,1,1,1,2,2,3,2,3
102,5,4,3,1,1,2,4,2,2,3
40,5,4,1,2,1,1,1,1,2,1
40,5,4,1,1,1,1,4,2,1,2
56,2,4,2,1,1,3,1,1,1,2
111,3,3,1,1,1,1,1,1,1,1
105,4,3,3,2,1,1,1,3,3,1
72,5,3,1,1,1,1,1,1,1,1
102,5,4,1,1,1,1,1,1,2,1
102,5,3,1,1,1,1,1,1,1,1
111,3,4,1,1,1,2,3,4,2,2
40,5,3,1,1,1,1,2,1,1,2
72,5,3,1,2,1,1,2,2,3,2
40,5,3,1,1,1,2,2,3,3,3
39,5,2,1,2,1,2,2,4,4,1
41,5,4,1,1,1,1,1,1,2,1
40,5,3,1,1,1,1,1,1,1,1
102,5,2,1,1,1,2,2,3,2,2
109,1,4,1,2,1,1,1,1,2,1
9,3,4,1,2,1,2,2,4,3,3
47,3,3,1,2,1,2,2,4,1,2
4,5,4,1,2,1,2,2,3,3,2
40,5,4,1,2,1,2,2,4,2,1
40,5,4,1,2,1,1,2,2,2,2
8,5,3,1,1,1,1,1,3,2,1
72,5,3,4,2,1,2,1,2,3,4
70,1,5,1,1,1,1,1,1,1,1
131,3,3,1,1,1,3,1,1,1,1
40,5,4,1,2,1,3,2,2,2,3
40,5,2,3,1,1,2,3,3,3,2
102,5,3,1,1,1,1,1,1,2,1
102,5,3,1,2,1,2,2,4,4,4
102,5,4,1,2,1,2,2,4,1,1
70,1,4,1,1,1,2,2,1,1,2
77,5,4,1,2,1,2,3,1,3,2
40,5,4,3,1,1,1,1,1,2,1
40,5,3,1,2,1,1,2,2,1,1
102,5,3,1,1,1,2,1,3,3,1
72,5,1,1,1,1,1,1,1,1,1
59,3,4,1,1,1,2,2,2,2,2
40,5,3,4,2,1,2,3,2,3,1
111,3,4,1,1,1,2,2,4,2,2
40,5,3,1,2,1,2,2,1,1,1
40,5,4,1,2,1,2,2,2,1,4
120,3,4,1,2,1,2,2,3,3,1
