"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
1,2,2,3,2,2,102,5,2,2,3
2,3,2,2,1,1,42,5,2,2,3
1,2,3,3,2,2,89,6,2,2,3
2,2,1,2,3,1,85,6,2,2,3
1,2,2,1,2,3,88,6,2,2,3
1,3,2,3,2,2,26,6,2,2,3
2,3,3,3,3,3,26,6,2,2,3
1,1,1,1,1,1,26,6,2,2,3
1,2,2,2,2,2,88,6,2,2,3
2,1,1,2,3,2,87,6,2,2,3
2,2,2,2,2,3,87,6,2,2,3
1,2,2,3,3,2,87,6,2,2,3
2,2,1,2,3,3,57,6,2,2,3
2,2,2,1,2,2,57,6,2,2,3
2,1,1,2,1,3,57,6,2,2,3
2,1,2,3,3,1,98,6,2,2,3
2,2,2,2,3,1,98,6,2,2,3
2,2,1,3,2,3,98,6,2,2,3
2,1,2,2,3,1,98,6,2,2,3
2,2,2,3,2,2,121,2,2,2,4
1,2,2,3,3,2,81,2,2,2,4
1,1,2,2,3,2,24,2,2,2,4
1,1,1,3,2,2,79,2,2,2,4
2,2,1,1,2,2,75,2,2,2,4
2,3,2,3,3,3,75,2,2,2,4
1,1,2,2,3,3,11,2,2,2,4
2,2,2,2,3,2,96,2,2,2,4
2,2,2,2,2,2,111,3,2,2,4
2,1,2,2,3,1,73,4,2,2,4
1,3,1,2,2,2,99,4,2,2,4
1,2,1,2,2,1,52,4,2,2,4
1,2,2,2,2,3,60,4,2,2,4
1,1,1,1,1,1,95,4,2,2,4
2,1,1,1,1,2,95,4,2,2,4
1,2,2,2,2,2,102,5,2,2,4
1,2,2,2,3,3,40,5,2,2,4
1,2,1,3,3,2,125,6,2,2,4
1,2,2,2,2,2,86,6,2,2,4
1,2,2,2,3,3,86,6,2,2,4
2,1,1,1,1,1,57,6,2,2,4
2,2,2,1,1,2,98,6,2,2,4
1,3,2,1,2,1,16,2,2,3,1
2,2,2,2,3,1,96,2,2,3,1
2,1,2,2,3,3,95,4,2,3,1
2,3,1,3,3,1,72,5,2,3,1
2,2,1,1,1,3,40,5,2,3,1
2,4,4,4,4,4,125,6,2,3,1
2,2,2,2,1,2,125,6,2,3,1
1,1,1,3,1,3,34,2,2,3,2
2,2,1,1,1,1,110,3,2,3,2
2,2,1,2,1,1,58,4,2,3,2
2,3,1,3,3,3,77,5,2,3,2
2,1,1,3,2,1,102,5,2,3,2
2,3,1,3,2,3,102,5,2,3,2
2,2,2,2,3,2,8,5,2,3,2
1,1,1,1,1,1,26,6,2,3,2
1,2,1,1,1,1,14,1,2,3,3
2,2,2,2,3,3,132,1,2,3,3
1,3,1,3,2,2,121,2,2,3,3
1,2,3,1,1,1,118,4,2,3,3
1,4,4,4,1,1,72,5,2,3,3
2,3,1,1,1,1,102,5,2,3,3
1,2,2,1,2,1,102,5,2,3,3
2,3,2,2,2,2,41,5,2,3,3
2,2,2,3,3,2,8,5,2,3,3
2,2,2,3,2,2,4,5,2,3,3
2,3,2,1,1,2,48,5,2,3,3
1,1,1,1,1,1,69,6,2,3,3
2,2,1,1,1,1,107,6,2,3,3
2,3,3,3,2,2,26,6,2,3,3
2,1,1,3,3,2,125,6,2,3,3
2,2,2,1,1,1,87,6,2,3,3
2,1,1,2,3,1,87,6,2,3,3
1,2,2,2,2,2,87,6,2,3,3
1,3,3,3,2,3,98,6,2,3,3
1,3,3,3,2,1,3,1,2,3,4
1,2,2,2,1,1,34,2,2,3,4
2,3,3,3,2,3,120,3,2,3,4
2,2,3,3,3,2,2,4,2,3,4
1,3,3,3,2,2,40,5,2,3,4
1,3,3,1,2,2,40,5,2,3,4
2,2,2,2,3,2,8,5,2,3,4
1,2,1,2,3,3,125,6,2,3,4
1,1,3,3,2,2,86,6,2,3,4
